simulated_personas_10000-2
PersonaID,Area,UrbanRural,Gender,AgeGroup,TopFlavor1,TopFlavor2,TopFlavor3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515,A4,Urban,Male,18-25,Tropical Mango,Minty Lemon,Icy Berries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516,A4,Urban,Male,26-40,Peppermint,Wintergreen,Bright Spearmint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517,A1,Urban,Male,26-40,Bright Spearmint,Minty Lemon,Arctic Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518,A2,Rural,Male,26-40,Peppermint,Tropical Mango,Mango Flame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519,A4,Urban,Male,41,Peppermint Storm,Mango Flame,Crispy Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520,A3,Rural,Female,26-40,Strawberry Ice,Melon Fresh,Smart Mint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521,A3,Urban,Male,41,Coffee,Icy Berries,Berry Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522,A1,Rural,Male,26-40,Arctic Peppermint,Tropical Punch,Icy Berries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2523,A4,Rural,Male,41,Peppermint Storm,Minty Lemon,Wintergreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524,A1,Rural,Male,26-40,Melon Fresh,Ruby Berry,Wintergreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525,A3,Urban,Male,26-40,Minty Lemon,Tropical Ice,Black Cherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526,A1,Urban,Female,26-40,Mango Flame,Tangy Lime,Coco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527,A2,Urban,Female,26-40,Crispy Peppermint,Wintergreen,Zesty Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528,A2,Rural,Male,41,Smart Mint,Berry Ice,Minty Watermelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529,A3,Urban,Male,18-25,Coffee,Cinnamon Flame,Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530,A2,Urban,Female,18-25,Arctic Peppermint,Zesty Lime,Ruby Berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531,A4,Urban,Female,41,Arctic Peppermint,Peppermint Storm,Fresh Classic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2532,A2,Rural,Female,41,Melon Fresh,Coffee,Purple Grape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533,A1,Rural,Female,18-25,Bright Spearmint,Purple Grape,Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534,A4,Rural,Male,26-40,Peppermint Storm,Cinnamon,Minty Watermelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535,A3,Urban,Male,26-40,Bright Spearmint,Wintergreen,Fresh Classic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536,A1,Urban,Male,26-40,Mango Flame,Peppermint Storm,Icy Berries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537,A2,Urban,Male,26-40,Cinnamon Flame,Strawberry Ice,Black Cherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538,A3,Rural,Male,18-25,Bright Spearmint,Black Cherry,Berry Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539,A4,Rural,Male,18-25,Smart Mint,Coffee,Berry Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540,A2,Urban,Female,26-40,Purple Grape,Bright Spearmint,Creamy Latte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541,A2,Rural,Female,18-25,Tropical Mango,Purple Grape,Coco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542,A4,Rural,Male,41,Coco,Zesty Orange,Citrus Burst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543,A2,Rural,Male,26-40,Tropical Mango,Minty Watermelon,Mango Flame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544,A4,Urban,Female,18-25,Crispy Peppermint,Zesty Lime,Fresh Classic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545,A3,Rural,Female,18-25,Purple Grape,Citrus Burst,Creamy Latte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546,A3,Rural,Female,18-25,Melon Fresh,Fresh Classic,Citrus Burst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547,A3,Urban,Male,18-25,Arctic Peppermint,Minty Lemon,Crispy Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548,A3,Urban,Female,41,Fresh Classic,Strawberry Ice,Arctic Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549,A1,Rural,Male,41,Zesty Lime,Peppermint Storm,Ruby Berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550,A3,Rural,Male,18-25,Fresh Classic,Smart Mint,Purple Grape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551,A3,Urban,Female,18-25,Crispy Peppermint,Purple Grape,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552,A3,Rural,Male,41,Peppermint,Creamy Latte,Zesty Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2553,A3,Urban,Male,41,Peppermint Storm,Peppermint,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2554,A2,Rural,Male,26-40,Citrus Burst,Coffee,Tropical Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2555,A3,Urban,Male,41,Berry Ice,Icy Berries,Melon Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2556,A2,Rural,Male,41,Mango Flame,Coco,Zesty Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557,A1,Rural,Male,18-25,Zesty Lime,Cinnamon Flame,Strawberry Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2558,A2,Rural,Male,18-25,Tropical Mango,Melon Fresh,Cinnamon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2559,A2,Urban,Male,18-25,Black Cherry,Fresh Classic,Purple Grape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2560,A4,Urban,Female,26-40,Tropical Ice,Ruby Berry,Cinnamon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2561,A4,Rural,Male,26-40,Peppermint Storm,Tropical Ice,Berry Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2562,A2,Urban,Male,41,Tropical Mango,Coco,Creamy Latte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2563,A4,Rural,Male,41,Cinnamon,Citrus Burst,Icy Berries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2564,A2,Urban,Male,18-25,Icy Berries,Coco,Purple Grape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2565,A2,Urban,Female,41,Tropical Mango,Creamy Latte,Zesty Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2566,A1,Urban,Male,18-25,Zesty Orange,Mango Flame,Peppermint Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2567,A2,Urban,Male,18-25,Arctic Peppermint,Minty Lemon,Cinnamon Flame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2568,A4,Rural,Female,18-25,Citrus Burst,Wintergreen,Tropical Mango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2569,A3,Rural,Male,18-25,Purple Grape,Peppermint Storm,Arctic Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2570,A4,Rural,Male,18-25,Tropical Punch,Crispy Peppermint,Wintergreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2571,A4,Rural,Male,18-25,Mango Flame,Peppermint Storm,Icy Berries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2572,A1,Rural,Female,26-40,Arctic Peppermint,Tropical Mango,Zesty Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2573,A3,Urban,Male,18-25,Peppermint Storm,Mango Flame,Citrus Burst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2574,A3,Rural,Male,26-40,Purple Grape,Fresh Classic,Zesty Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2575,A3,Rural,Male,18-25,Mango Flame,Peppermint Storm,Wintergreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2576,A2,Urban,Female,41,Wintergreen,Arctic Peppermint,Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2577,A3,Urban,Male,26-40,Tropical Ice,Melon Fresh,Tangy Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2578,A3,Rural,Female,26-40,Wintergreen,Tropical Ice,Strawberry Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2579,A4,Rural,Male,26-40,Zesty Orange,Cinnamon Flame,Creamy Latte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2580,A2,Urban,Male,26-40,Coffee,Cinnamon Flame,Icy Berries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2581,A4,Urban,Male,26-40,Creamy Latte,Cinnamon,Crispy Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2582,A3,Urban,Male,18-25,Icy Berries,Strawberry Ice,Citrus Burst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2583,A4,Urban,Female,26-40,Wintergreen,Tangy Lime,Fresh Classic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2584,A2,Urban,Male,18-25,Tangy Lime,Berry Ice,Creamy Latte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2585,A4,Urban,Male,41,Fresh Classic,Wintergreen,Cinnamon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2586,A4,Urban,Male,26-40,Ruby Berry,Cinnamon,Tropical Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2587,A3,Rural,Male,26-40,Bright Spearmint,Tropical Mango,Minty Lemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2588,A3,Rural,Male,18-25,Berry Ice,Cinnamon,Tangy Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2589,A2,Rural,Male,26-40,Ruby Berry,Zesty Lime,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2590,A1,Urban,Male,26-40,Purple Grape,Citrus Burst,Smart Mint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2591,A1,Urban,Male,26-40,Strawberry Ice,Minty Lemon,Icy Berries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2592,A3,Rural,Female,18-25,Peppermint,Arctic Peppermint,Citrus Burst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2593,A1,Urban,Male,18-25,Smart Mint,Mango Flame,Tangy Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2594,A2,Rural,Male,26-40,Cinnamon Flame,Zesty Orange,Arctic Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2595,A3,Rural,Male,18-25,Zesty Orange,Coco,Cinnamon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2596,A1,Urban,Male,18-25,Fresh Classic,Berry Ice,Crispy Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2597,A1,Rural,Female,41,Coffee,Purple Grape,Tropical Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2598,A3,Rural,Male,26-40,Cinnamon Flame,Zesty Orange,Bright Spearmint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2599,A4,Rural,Male,26-40,Cinnamon Flame,Tropical Mango,Creamy Latte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600,A3,Urban,Male,41,Fresh Classic,Mango Flame,Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2601,A4,Urban,Male,26-40,Arctic Peppermint,Black Cherry,Mango Flame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2602,A1,Urban,Male,41,Icy Berries,Peppermint,Strawberry Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2603,A1,Rural,Male,26-40,Berry Ice,Cinnamon,Crispy Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2604,A3,Rural,Male,26-40,Arctic Peppermint,Citrus Burst,Zesty Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2605,A3,Urban,Male,26-40,Cinnamon Flame,Citrus Burst,Mango Flame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2606,A1,Urban,Male,18-25,Icy Berries,Cinnamon,Peppermint Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2607,A2,Rural,Female,26-40,Tangy Lime,Smart Mint,Purple Grape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2608,A1,Urban,Male,26-40,Smart Mint,Tangy Lime,Minty Watermelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2609,A1,Rural,Male,18-25,Arctic Peppermint,Mango Flame,Creamy Latte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2610,A3,Urban,Male,26-40,Strawberry Ice,Icy Berries,Ruby Berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2611,A2,Rural,Female,18-25,Tangy Lime,Minty Lemon,Cinnamon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2612,A2,Urban,Male,41,Cinnamon,Purple Grape,Bright Spearmint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2613,A2,Rural,Male,41,Arctic Peppermint,Peppermint,Tropical Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2614,A2,Urban,Male,26-40,Zesty Orange,Fresh Classic,Tropical Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2615,A3,Urban,Male,41,Cinnamon,Cinnamon Flame,Wintergreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2616,A4,Rural,Female,41,Peppermint,Tropical Mango,Strawberry Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2617,A4,Rural,Male,26-40,Cinnamon,Ruby Berry,Zesty Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2618,A4,Urban,Male,26-40,Arctic Peppermint,Icy Berries,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2619,A4,Rural,Male,18-25,Tropical Mango,Cinnamon,Coco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2620,A2,Urban,Male,41,Melon Fresh,Cinnamon,Cinnamon Flame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2621,A3,Urban,Male,26-40,Tropical Ice,Coco,Cinnamon Flame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2622,A3,Urban,Female,26-40,Citrus Burst,Purple Grape,Coco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2623,A3,Urban,Female,18-25,Zesty Orange,Zesty Lime,Purple Grape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2624,A1,Rural,Male,41,Purple Grape,Cinnamon,Wintergreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2625,A2,Rural,Female,18-25,Tropical Mango,Icy Berries,Coco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2626,A1,Rural,Male,26-40,Berry Ice,Zesty Orange,Black Cherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2627,A1,Rural,Female,26-40,Peppermint,Zesty Orange,Peppermint Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2628,A2,Rural,Male,26-40,Mango Flame,Fresh Classic,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2629,A4,Rural,Male,26-40,Berry Ice,Tropical Mango,Peppermint Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2630,A2,Rural,Female,26-40,Cinnamon Flame,Mango Flame,Ruby Berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2631,A3,Urban,Male,26-40,Berry Ice,Minty Watermelon,Zesty Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2632,A3,Urban,Male,41,Arctic Peppermint,Smart Mint,Creamy Latte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2633,A3,Urban,Female,41,Arctic Peppermint,Cinnamon Flame,Purple Grape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2634,A3,Rural,Male,18-25,Tropical Mango,Melon Fresh,Peppermint Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2635,A4,Rural,Male,41,Citrus Burst,Strawberry Ice,Zesty Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636,A3,Urban,Male,41,Melon Fresh,Fresh Classic,Coco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2637,A1,Rural,Male,26-40,Wintergreen,Crispy Peppermint,Arctic Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2638,A4,Urban,Male,41,Arctic Peppermint,Citrus Burst,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2639,A4,Urban,Male,41,Coffee,Mango Flame,Smart Mint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2640,A2,Rural,Male,26-40,Creamy Latte,Tropical Ice,Arctic Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2641,A2,Rural,Male,18-25,Tropical Punch,Smart Mint,Mango Flame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2642,A3,Rural,Male,18-25,Tropical Punch,Tangy Lime,Cinnamon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2643,A1,Rural,Female,18-25,Cinnamon Flame,Peppermint,Minty Watermelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2644,A2,Rural,Male,41,Citrus Burst,Tropical Mango,Mango Flame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2645,A1,Rural,Male,26-40,Arctic Peppermint,Bright Spearmint,Tropical Mango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2646,A2,Urban,Male,18-25,Peppermint,Coffee,Tangy Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2647,A3,Urban,Male,26-40,Arctic Peppermint,Wintergreen,Peppermint Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2648,A3,Urban,Male,26-40,Tropical Mango,Tropical Punch,Melon Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2649,A1,Urban,Female,41,Cinnamon Flame,Tropical Punch,Minty Watermelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2650,A2,Rural,Female,18-25,Creamy Latte,Mango Flame,Arctic Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2651,A4,Urban,Male,26-40,Berry Ice,Fresh Classic,Black Cherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2652,A1,Rural,Male,26-40,Melon Fresh,Cinnamon,Zesty Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2653,A4,Urban,Female,26-40,Tropical Mango,Creamy Latte,Cinnamon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2654,A4,Rural,Male,41,Crispy Peppermint,Creamy Latte,Tropical Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2655,A1,Rural,Male,41,Mango Flame,Citrus Burst,Purple Grape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2656,A4,Rural,Male,26-40,Black Cherry,Ruby Berry,Tropical Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2657,A4,Urban,Female,18-25,Purple Grape,Coffee,Icy Berries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2658,A3,Rural,Male,18-25,Smart Mint,Tropical Ice,Coco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2659,A1,Urban,Female,18-25,Strawberry Ice,Ruby Berry,Berry Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2660,A3,Rural,Male,26-40,Purple Grape,Crispy Peppermint,Melon Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2661,A2,Rural,Male,26-40,Creamy Latte,Mango Flame,Citrus Burst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2662,A4,Urban,Male,18-25,Creamy Latte,Cinnamon,Ruby Berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2663,A3,Rural,Male,18-25,Tropical Punch,Fresh Classic,Zesty Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2664,A1,Urban,Female,18-25,Berry Ice,Ruby Berry,Icy Berries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2665,A2,Urban,Female,41,Fresh Classic,Minty Watermelon,Cinnamon Flame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,A1,Urban,Male,41,Peppermint Storm,Black Cherry,Zesty Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2667,A2,Rural,Male,18-25,Mango Flame,Coffee,Creamy Latte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2668,A2,Rural,Female,18-25,Zesty Orange,Berry Ice,Coco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2669,A1,Rural,Female,26-40,Peppermint,Strawberry Ice,Tangy Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2670,A4,Urban,Male,18-25,Zesty Lime,Smart Mint,Mango Flame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2671,A2,Rural,Female,26-40,Purple Grape,Fresh Classic,Tropical Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2672,A4,Rural,Female,26-40,Bright Spearmint,Tangy Lime,Purple Grape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2673,A4,Urban,Male,26-40,Citrus Burst,Crispy Peppermint,Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2674,A4,Urban,Male,41,Black Cherry,Wintergreen,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2675,A4,Rural,Male,26-40,Black Cherry,Icy Berries,Zesty Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2676,A2,Urban,Male,18-25,Mango Flame,Icy Berries,Cinnamon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2677,A3,Urban,Male,41,Zesty Orange,Minty Lemon,Melon Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2678,A2,Rural,Male,18-25,Tropical Ice,Peppermint,Peppermint Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2679,A1,Rural,Male,18-25,Berry Ice,Mango Flame,Cinnamon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2680,A1,Rural,Male,41,Berry Ice,Tropical Mango,Tropical Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2681,A1,Rural,Female,26-40,Cinnamon Flame,Peppermint,Minty Lemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2682,A1,Urban,Male,18-25,Wintergreen,Creamy Latte,Tangy Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2683,A4,Urban,Female,18-25,Bright Spearmint,Minty Lemon,Icy Berries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2684,A4,Urban,Female,18-25,Cinnamon,Tangy Lime,Cinnamon Flame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2685,A3,Rural,Male,18-25,Tangy Lime,Coffee,Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2686,A4,Urban,Male,26-40,Tropical Ice,Melon Fresh,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2687,A3,Urban,Female,18-25,Purple Grape,Icy Berries,Tangy Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688,A3,Urban,Female,26-40,Tropical Mango,Icy Berries,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2689,A2,Urban,Male,26-40,Minty Lemon,Fresh Classic,Tropical Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2690,A4,Rural,Male,41,Peppermint,Creamy Latte,Zesty Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2691,A4,Urban,Female,18-25,Tropical Ice,Peppermint Storm,Crispy Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2692,A4,Rural,Female,26-40,Citrus Burst,Zesty Orange,Minty Lemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2693,A3,Urban,Male,18-25,Zesty Lime,Creamy Latte,Peppermint Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2694,A1,Rural,Male,41,Cinnamon Flame,Bright Spearmint,Ruby Berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2695,A2,Rural,Male,18-25,Cinnamon,Mango Flame,Strawberry Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2696,A1,Urban,Female,18-25,Fresh Classic,Peppermint Storm,Wintergreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2697,A3,Urban,Male,41,Peppermint,Strawberry Ice,Cinnamon Flame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2698,A2,Rural,Male,18-25,Peppermint,Cinnamon,Peppermint Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2699,A4,Urban,Male,26-40,Creamy Latte,Crispy Peppermint,Citrus Burst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,A3,Rural,Male,26-40,Bright Spearmint,Melon Fresh,Tropical Mango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701,A1,Rural,Female,26-40,Peppermint Storm,Tropical Mango,Mango Flame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702,A2,Urban,Male,26-40,Berry Ice,Icy Berries,Peppermint Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703,A3,Rural,Male,41,Bright Spearmint,Tropical Mango,Berry Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704,A2,Rural,Male,18-25,Strawberry Ice,Smart Mint,Cinnamon Flame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705,A3,Urban,Male,18-25,Smart Mint,Cinnamon Flame,Minty Lemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706,A2,Rural,Male,41,Tropical Punch,Peppermint Storm,Smart Mint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707,A3,Rural,Male,18-25,Coffee,Peppermint,Tropical Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708,A1,Rural,Female,26-40,Zesty Lime,Mango Flame,Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709,A2,Rural,Female,26-40,Berry Ice,Strawberry Ice,Arctic Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710,A4,Rural,Female,26-40,Zesty Orange,Zesty Lime,Coco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711,A3,Rural,Male,26-40,Zesty Orange,Icy Berries,Tangy Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712,A3,Urban,Male,18-25,Wintergreen,Peppermint Storm,Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713,A2,Rural,Male,18-25,Peppermint,Zesty Lime,Cinnamon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
